paper_dataset,variant,seed,auc_roc,auc_pr,r_auc_roc,r_auc_pr,vus_roc,vus_pr,affiliation_f,affiliation_precision,affiliation_recall,point_f1,point_precision,point_recall,paper_catch_auc_roc,paper_catch_affiliation_f,delta_auc_roc_vs_paper_catch,delta_affiliation_f_vs_paper_catch
PSM,adaptive,20261,0.5496159481647117,0.3231572307633847,0.5532199003794969,0.3269269266467349,0.5528614032206779,0.32758100952037217,0.7756774968432569,0.6830294846318388,0.897403840837467,0.029307811445137204,0.45952677459526775,0.015136598572483386,0.652,0.859,-0.10238405183528831,-0.08332250315674306
PSM,causal_catch,20261,0.546610489415727,0.3213667806788424,0.5498635210180267,0.325174248798235,0.549603739683627,0.32579926778712415,0.783188776741375,0.6943388858000157,0.8981144615859225,0.026718619537990537,0.4346701164294955,0.013782919025350726,0.652,0.859,-0.10538951058427304,-0.075811223258625
PSM,fixed,20261,0.5420628739749622,0.3174057277681496,0.544232919541652,0.32081831617923495,0.5444356886181985,0.32145973292994423,0.7885575245287283,0.699155627760556,0.90417557624437,0.02743756958803881,0.44805194805194803,0.014152104356386907,0.652,0.859,-0.1099371260250378,-0.07044247547127169
