run_name,group,family,entity,dataset_id,variant,seed,context,distribution,mask,config_hash,plan_hash,runner_wall_seconds,fit_seconds,training_seconds,scorer_fit_seconds,epochs_requested,epochs_completed,best_epoch,best_validation_loss,stopped_early,parameter_count,calibration_input_length,calibration_score_seconds,calibration_score_min,calibration_score_max,calibration_score_mean,calibration_scale_min,calibration_scale_max,calibration_scale_mean,calibration_scale_std,calibration_scale_lower_bound_fraction,calibration_scale_upper_bound_fraction,test_input_length,test_score_seconds,test_score_min,test_score_max,test_score_mean,test_scale_min,test_scale_max,test_scale_mean,test_scale_std,test_scale_lower_bound_fraction,test_scale_upper_bound_fraction,benchmark_log
p0_weather_diag_v2,smoke,Weather,Weather,Weather,A01,2021,C0,D1,M1,7cba5bae0fd54c56b6cde4beb6e8d1d2be07f06c2c96cfb5af4cb7b6882aa1ad,f0860d471a94a1ee6ad43d093a740f9911136b251e114dd09d4e078a03fea04b,48.454570129513741,38.879315920174122,38.474757626652718,7.0579349994659424e-05,30,12,9,0.21932429075241089,True,378280,1975,1.126694368198514,-0.44433661016621023,40.058892185069922,0.44601660810987664,0.14618173241615295,1.435489296913147,0.3899077117562999,0.21486530356495956,0,0,2468,1.3678495939821005,-0.42560484707282181,4.3303958561726938,0.40439912520597615,0.14627867937088013,1.4090372323989868,0.37450571750133882,0.19934201182243036,0,0,benchmark.log
p0_weather_diag_v2,smoke,Weather,Weather,Weather,A11,2021,C1,D1,M1,7421b18534e647d439bbe80f2c4b50ad7e7c1db22d4fd6f437d329351681bfdd,f0860d471a94a1ee6ad43d093a740f9911136b251e114dd09d4e078a03fea04b,31.351152507588267,23.635517586022615,23.320949792861938,5.2375718951225281e-05,30,7,4,0.072805464267730713,True,378280,1975,1.2613008935004473,-0.56510609413217527,28.158919841232301,0.29818406809418385,0.1305902898311615,1.3396478891372681,0.33761828444637942,0.19347337179386667,0,0,2468,1.5698614288121462,-0.56423718813037993,4.3914910470055721,0.23411590705794677,0.13137885928153992,1.3208179473876953,0.32412746327084213,0.17730095749599958,0,0,benchmark.log
