pair_id,role,regime,source_terminal_index,donor_terminal_index,target,mu_temporal,mu_cross,temporal_residual,cross_residual,disagreement,temporal_residual_tail,temporal_residual_reliability_feature,temporal_residual_reliability_stratum,cross_residual_tail,cross_residual_reliability_feature,cross_residual_reliability_stratum,disagreement_tail,disagreement_reliability_feature,disagreement_reliability_stratum
regime_0_pair_00,coherent_control,0,64,1024,-1.0049970149993896,-0.9262715578079224,-0.8305505514144897,0.006197697610005548,0.030431568657277808,0.009162511064971568,0.24021553521285718,0.4959028028560347,2.0,1.1038893457689536,0.5350587651698877,2.0,0.30138091680994283,0.7295255115933892,2.0
regime_0_pair_00,unsupported_target_break,0,64,1024,-1.0049970149993896,-0.9262715578079224,2.788687229156494,0.006197697610005548,14.3920401443566,13.800918788844129,0.24021553521285718,0.4959028028560347,2.0,5.288267030694535,0.43399680017458725,1.0,5.278114659230518,0.6589937878631724,2.0
regime_0_pair_00,target_omission_break,0,64,1024,2.9883289337158203,2.977155923843384,-0.8305505514144897,0.00012483614960956402,14.583840521949142,14.498628601720739,0.026386755173194887,0.48338657508620975,2.0,5.247024072160486,0.5350587651698877,2.0,5.278114659230518,0.721075906655257,2.0
regime_0_pair_00,target_spike,0,64,1024,3.7786264419555664,-0.9262715578079224,-0.8305505514144897,22.136065188178478,21.24451255621183,0.009162511064971568,5.2574953720277815,0.4959028028560347,2.0,5.247024072160486,0.5350587651698877,2.0,0.30138091680994283,0.7295255115933892,2.0
regime_0_pair_01,coherent_control,0,269,452,1.1508136987686157,0.8727867603302002,1.0009387731552124,0.0772989784974385,0.02246249332762318,0.016422938391102093,0.9908594273716635,0.31762741395642174,1.0,1.4596256342054403,0.38734074104526783,1.0,0.3899609215721991,0.5009191788803273,1.0
regime_0_pair_01,unsupported_target_break,0,269,452,1.1508136987686157,0.8727867603302002,-2.058588743209839,0.0772989784974385,10.300264034577268,8.592962342754618,0.9908594273716635,0.31762741395642174,1.0,5.288267030694535,0.4255524139864153,1.0,5.2574953720277815,0.5310198029700112,1.0
regime_0_pair_01,target_omission_break,0,269,452,-2.045339584350586,-1.7766915559768677,1.0009387731552124,0.07217176314908613,9.279811831408225,7.7152302453143875,0.9591107290570832,0.3658763272893509,1.0,5.288267030694535,0.38734074104526783,1.0,5.2574953720277815,0.5328211112036022,1.0
regime_0_pair_01,target_spike,0,269,452,-3.6328094005584717,0.8727867603302002,1.0009387731552124,20.30039676501474,21.471622137394903,0.016422938391102093,5.117993812416755,0.31762741395642174,1.0,5.288267030694535,0.38734074104526783,1.0,0.3899609215721991,0.5009191788803273,1.0
regime_0_pair_02,coherent_control,0,475,1024,0.23745258152484894,0.3841605484485626,0.24955330789089203,0.02152322755888947,0.00014642757858585043,0.0181191092105506,0.5920510636885765,0.2707348752989156,0.0,0.14077255388108215,0.3109667831990447,1.0,0.4133082855691902,0.41230778910454874,1.0
regime_0_pair_02,unsupported_target_break,0,475,1024,0.23745258152484894,0.3841605484485626,2.788687229156494,0.02152322755888947,6.508798227276165,5.781748558236303,0.5920510636885765,0.2707348752989156,0.0,5.288267030694535,0.43399680017458725,1.0,5.2574953720277815,0.5115179324959194,1.0
regime_0_pair_02,target_omission_break,0,475,1024,2.9883289337158203,2.977155923843384,0.24955330789089203,0.00012483614960956402,7.500891928612727,7.439816030550876,0.026386755173194887,0.48338657508620975,2.0,5.288267030694535,0.3109667831990447,1.0,5.2574953720277815,0.5747720602349574,1.0
regime_0_pair_02,target_spike,0,475,1024,5.021076202392578,0.3841605484485626,0.24955330789089203,21.500986781791056,22.76743073275375,0.0181191092105506,5.459585514144159,0.2707348752989156,0.0,5.288267030694535,0.3109667831990447,1.0,0.4133082855691902,0.41230778910454874,1.0
regime_0_pair_03,coherent_control,0,680,1024,-1.0898534059524536,-0.8562129735946655,-1.13825523853302,0.05458785163233415,0.0023427373971571797,0.07954783921155695,0.8275343712683639,0.30784862967403737,1.0,0.40789524296145613,0.29469250288941545,0.0,0.9808292530117262,0.426162469078884,1.0
regime_0_pair_03,unsupported_target_break,0,680,1024,-1.0898534059524536,-0.8562129735946655,2.788687229156494,0.05458785163233415,15.04307745819132,13.285297488015445,0.8275343712683639,0.30784862967403737,1.0,5.288267030694535,0.43399680017458725,1.0,5.2574953720277815,0.5320939779343149,1.0
