source_id,role,regime,primary_pair_id,coordination_pair_id,trajectory_nll,compatibility_tail,reliability_bin,outer_threshold,outer_exceedance
regime_0_source_00,normal_scheduled_transition,0,regime_0_source_00_primary,,1.7102338075637817,1.9829514207356624,1,2.7751895039398384,0
regime_0_source_00,incompatible_timing_transition,0,regime_0_source_00_primary,,1.5544105768203735,1.431454757238744,1,2.7751895039398384,0
regime_0_source_00,normal_coordinated_transition,0,,regime_0_source_00_coordination,1.7179007530212402,2.0614230361771577,1,2.7751895039398384,0
regime_0_source_00,unsupported_transition,0,,regime_0_source_00_coordination,1.4254924058914185,1.0405884485517323,1,2.7751895039398384,0
regime_0_source_00,no_event_normal_control,0,,,1.0874453783035278,0.5872673192659328,1,2.7751895039398384,0
regime_0_source_01,normal_scheduled_transition,0,regime_0_source_01_primary,,1.6073284149169922,2.159484249353372,0,2.8227784667636366,0
regime_0_source_01,incompatible_timing_transition,0,regime_0_source_01_primary,,1.948285460472107,4.557379522151743,0,2.8227784667636366,1
regime_0_source_01,normal_coordinated_transition,0,,regime_0_source_01_coordination,1.4997135400772095,1.6306401200847034,0,2.8227784667636366,0
regime_0_source_01,unsupported_transition,0,,regime_0_source_01_coordination,1.2930792570114136,1.3252584705335215,0,2.8227784667636366,0
regime_0_source_01,no_event_normal_control,0,,,0.8224777579307556,0.5997460054715446,0,2.8227784667636366,0
regime_0_source_02,normal_scheduled_transition,0,regime_0_source_02_primary,,1.6761646270751953,2.6602595372658615,0,2.8227784667636366,0
regime_0_source_02,incompatible_timing_transition,0,regime_0_source_02_primary,,1.5330028533935547,1.8058442091097942,0,2.8227784667636366,0
regime_0_source_02,normal_coordinated_transition,0,,regime_0_source_02_coordination,1.739966869354248,3.4587672334836332,0,2.8227784667636366,1
regime_0_source_02,unsupported_transition,0,,regime_0_source_02_coordination,1.4251750707626343,1.4512991914288864,0,2.8227784667636366,0
regime_0_source_02,no_event_normal_control,0,,,0.42616403102874756,0.14256306465487048,0,2.8227784667636366,0
regime_0_source_03,normal_scheduled_transition,0,regime_0_source_03_primary,,1.567736268043518,1.4759065198095778,1,2.7751895039398384,0
regime_0_source_03,incompatible_timing_transition,0,regime_0_source_03_primary,,1.9139976501464844,2.7751895039398384,1,2.7751895039398384,0
regime_0_source_03,normal_coordinated_transition,0,,regime_0_source_03_coordination,1.4955863952636719,1.2258555155754438,1,2.7751895039398384,0
regime_0_source_03,unsupported_transition,0,,regime_0_source_03_coordination,1.2407335042953491,0.8115797777851245,1,2.7751895039398384,0
regime_0_source_03,no_event_normal_control,0,,,0.4457283020019531,0.0839464211540098,1,2.7751895039398384,0
regime_0_source_04,normal_scheduled_transition,0,regime_0_source_04_primary,,1.7546013593673706,3.8642323415917974,0,2.8227784667636366,1
