seed,status,all_gates_pass,cross_relative_improvement,coherent_exceedance_count,background_max_group_fpr,background_disagreement_fpr_gap,unsupported_cross_median_tail_delta,unsupported_disagreement_median_tail_delta,omission_cross_median_tail_delta,omission_disagreement_median_tail_delta,target_spike_success_count,result_dir
3101,passed,True,0.8510425291879631,0,0.05177993527508091,0.013128800442233274,4.676881977114411,4.363078339578307,4.634540433499391,4.363078339578307,16,result/multi_evidence/b1_ecrc_seed3101_gpu
3102,passed,True,0.8666146860820142,1,0.05591397849462366,0.010868985620589751,4.097357765034188,4.0004261934810685,4.232423355522014,4.0004261934810685,16,result/multi_evidence/b1_ecrc_seed3102_gpu
3103,passed,True,0.8241705910702329,1,0.0777988614800759,0.012547157303506213,4.504218210387931,4.825765759526854,4.288861845578134,4.684355353973812,16,result/multi_evidence/b1_ecrc_seed3103_gpu
3104,passed,True,0.8727507461761599,0,0.07708333333333334,0.034530141843971636,4.419553231665779,4.765285151247986,4.432796999451362,4.8440620942704395,16,result/multi_evidence/b1_ecrc_seed3104_gpu
3105,passed,True,0.876285175291673,2,0.0767590618336887,0.044007970130631936,4.274926986827893,4.405727754121173,4.274926986827893,4.405727754121173,16,result/multi_evidence/b1_ecrc_seed3105_gpu
