run_name,group,family,variant,seed,n_entities,auc_pr,VUS_PR,auc_roc,VUS_ROC,R_AUC_PR,R_AUC_ROC
p0_weather_v1,smoke,Weather,A00,2021,1,0.40658973804116871,0.41151616314857992,0.75114545547201095,0.72989714808775563,0.4128302742488596,0.74531068098200648
p0_weather_v1,smoke,Weather,A01,2021,1,0.39263314884455197,0.41256508959926991,0.79567228623183373,0.76046681683907125,0.41559987457902192,0.77361515183743124
p0_weather_v1,smoke,Weather,A10,2021,1,0.41281258767052476,0.4112243761356173,0.72825140257490062,0.71672265507004629,0.41076967363940253,0.73413463643076304
p0_weather_v1,smoke,Weather,A11,2021,1,0.39025675170161211,0.41298322691908107,0.79174252848003046,0.76926715324617267,0.41640293256224353,0.78375720076044431
