run_name,group,family,comparison,lhs,rhs,seed,n_entities,auc_pr,VUS_PR,auc_roc,VUS_ROC,R_AUC_PR,R_AUC_ROC
p0_weather_v1,smoke,Weather,context_at_D0,A10,A00,2021,1,0.006222849629356042,-0.00029178701296261877,-0.022894052897110329,-0.013174493017709343,-0.0020606006094570639,-0.011176044551243436
p0_weather_v1,smoke,Weather,context_at_D1,A11,A01,2021,1,-0.0023763971429398567,0.00041813731981116264,-0.0039297577518032645,0.0088003364071014278,0.00080305798322161115,0.010142048923013069
p0_weather_v1,smoke,Weather,distribution_at_C0,A01,A00,2021,1,-0.013956589196616742,0.0010489264506899909,0.044526830759822777,0.030569668751315615,0.0027696003301623251,0.028304470855424757
p0_weather_v1,smoke,Weather,distribution_at_C1,A11,A10,2021,1,-0.022555835968912641,0.0017588507834637723,0.063491125905129842,0.052544498176126386,0.0056332589228410002,0.049622564329681262
p0_weather_v1,smoke,Weather,full_vs_baseline,A11,A00,2021,1,-0.016332986339556599,0.0014670637705011536,0.040597073008019513,0.039370005158417043,0.0035726583133839362,0.038446519778437827
