dataset_file,paper_dataset,variant,seed,fit_seconds,inference_seconds,parameters,epochs,affiliation_f,affiliation_precision,affiliation_recall,auc_pr,auc_roc,point_f1,point_precision,point_recall,r_auc_pr,r_auc_roc,vus_pr,vus_roc
Genesis.csv,Genesis,adaptive,20261,8094.099684238434,1971.9006841182709,2722024,6,0.6606437864854852,0.5633718389880992,0.7985157510293147,0.003499343844566513,0.39482786487796995,0.0,0.0,0.0,0.014410503232770926,0.5360079260072912,0.011025416358887315,0.5091803462644877
Genesis.csv,Genesis,causal_catch,20261,5207.204934358597,1624.5957844257355,2722024,6,0.5923217603399429,0.47076109215360495,0.7985157510293147,0.0037033848954641175,0.4360764506222725,0.0,0.0,0.0,0.014653275798000312,0.5328298048018765,0.011219634090268162,0.5136684257677534
Genesis.csv,Genesis,fixed,20261,6556.099491357803,2889.4026987552643,2722024,4,0.6766536425538634,0.582623976748594,0.8068752076646334,0.0035192405776438254,0.40963633424923224,0.0,0.0,0.0,0.014319343615512362,0.5366511500451958,0.011190430993485892,0.5168495294211379
