pair_id,role,regime,source_terminal_index,target,mu_temporal,mu_cross,temporal_residual,cross_residual,disagreement,temporal_residual_tail,cross_residual_tail,disagreement_tail
regime_0_pair_00,coherent_control,0,64,1.6836745738983154,1.7451896667480469,1.767153024673462,0.003784106648311081,0.006968651743818555,0.0004823890913598916,0.12260232209233239,0.43969827975040654,0.08004270767353637
regime_0_pair_00,unsupported_target_break,0,64,1.6836745738983154,1.7451896667480469,-0.6553757786750793,0.003784106648311081,5.471156551873722,5.762714457759532,0.12260232209233239,5.337538079701318,5.337538079701318
regime_0_pair_00,target_omission_break,0,64,-0.6265069246292114,-0.40716657042503357,1.767153024673462,0.0481101909824142,5.729607952895677,4.727665701629285,0.50125617274984,5.337538079701318,5.337538079701318
regime_0_pair_00,target_spike,0,64,5.148946762084961,-0.40716657042503357,-0.6553757786750793,30.870395363695316,33.690160157175086,0.06160781106011459,5.337538079701318,5.337538079701318,0.6280078783889839
regime_0_pair_01,coherent_control,0,118,-4.391886234283447,-2.8215785026550293,-3.6492323875427246,2.4658663720119876,0.5515347360787928,0.6850109531696944,4.6443908991413725,5.337538079701318,2.3930991005348776
regime_0_pair_01,unsupported_target_break,0,118,-4.391886234283447,-2.8215785026550293,-2.0406064987182617,2.4658663720119876,5.528516394879489,0.6099172709330105,4.6443908991413725,5.337538079701318,2.293015641977895
regime_0_pair_01,target_omission_break,0,118,-2.081705331802368,-1.573027491569519,-3.6492323875427246,0.258753145143956,2.4571410704780305,4.310626770063109,1.3121863889661687,5.337538079701318,5.337538079701318
regime_0_pair_01,target_spike,0,118,-7.857158660888672,-1.573027491569519,-2.0406064987182617,39.4903045532085,33.83227905524927,0.21863012792620395,5.337538079701318,5.337538079701318,1.2266642155280068
regime_0_pair_02,coherent_control,0,269,2.1774120330810547,2.17217755317688,2.251150131225586,2.7399779867209872e-05,0.005437307117972523,0.006236668083658969,0.014528100562909744,0.38877818932314967,0.20173964265105623
regime_0_pair_02,unsupported_target_break,0,269,2.1774120330810547,2.17217755317688,-0.18868310749530792,2.7399779867209872e-05,5.598406214259077,5.573663059109519,0.014528100562909744,5.337538079701318,5.337538079701318
regime_0_pair_02,target_omission_break,0,269,-0.13276953995227814,0.10725897550582886,2.251150131225586,0.05761368823302271,5.683072998628775,4.596269287573396,0.5753641449035618,5.337538079701318,5.337538079701318
regime_0_pair_02,target_spike,0,269,5.642683982849121,0.10725897550582886,-0.18868310749530792,30.640930011921487,34.004842142352054,0.08758171649105173,5.337538079701318,5.337538079701318,0.6931471805599453
regime_0_pair_03,coherent_control,0,324,-4.201916694641113,-2.9278180599212646,-3.6369175910949707,1.6233273309949823,0.31922398700794474,0.5028221451107697,3.951243718581427,4.6443908991413725,2.0794415416798357
regime_0_pair_03,unsupported_target_break,0,324,-4.201916694641113,-2.9278180599212646,-1.9525337219238281,1.6233273309949823,5.059723757950451,0.951179539943098,3.951243718581427,5.337538079701318,2.8526314299133175
regime_0_pair_03,target_omission_break,0,324,-1.8917354345321655,-1.7884695529937744,-3.6369175910949707,0.010663842289901027,3.0456607595852034,3.4167601495601616,0.21357410029805904,5.337538079701318,5.337538079701318
regime_0_pair_03,target_spike,0,324,-7.667189121246338,-1.7884695529937744,-1.9525337219238281,34.559343762155606,32.65728633300591,0.0269170515267092,5.337538079701318,5.337538079701318,0.43969827975040654
regime_0_pair_04,coherent_control,0,474,2.4228856563568115,1.996559739112854,2.5364813804626465,0.18175378771390172,0.012903988535128974,0.29151537879785394,1.047078638552927,0.7028090914716821,1.3485540331370436
regime_0_pair_04,unsupported_target_break,0,474,2.4228856563568115,1.996559739112854,0.15592029690742493,0.18175378771390172,5.139131940943487,3.387953556202313,1.047078638552927,5.337538079701318,5.337538079701318
regime_0_pair_04,target_omission_break,0,474,0.11270423233509064,-0.08404754102230072,2.5364813804626465,0.038711260319278296,5.874695663785348,6.86717182833906,0.4471889514795643,5.337538079701318,5.337538079701318
regime_0_pair_04,target_spike,0,474,5.888158321380615,-0.08404754102230072,0.15592029690742493,35.66724286291976,32.8585527692163,0.057584563240667075,5.337538079701318,5.337538079701318,0.6013396313068224
regime_0_pair_05,coherent_control,0,529,-1.89535391330719,-1.6918885707855225,-2.0064311027526855,0.04139814560745947,0.01233814201511052,0.09893700441631381,0.48550781578170077,0.7028090914716821,0.752570601030746
regime_0_pair_05,unsupported_target_break,0,529,-1.89535391330719,-1.6918885707855225,0.3968586325645447,0.04139814560745947,5.254238355451779,4.362864879502727,0.48550781578170077,5.337538079701318,5.337538079701318
regime_0_pair_05,target_omission_break,0,529,0.4148275554180145,0.3273632228374481,-2.0064311027526855,0.00765000947376393,5.862493489766579,5.446595954156707,0.16138834712748887,5.337538079701318,5.337538079701318
regime_0_pair_05,target_spike,0,529,-5.360626220703125,0.3273632228374481,0.3968586325645447,32.353223909829,33.148631835606636,0.004829611973137027,5.337538079701318,5.337538079701318,0.19004360288786498
regime_0_pair_06,coherent_control,0,680,0.8658504486083984,0.9739049077033997,0.9094411134719849,0.011675766130313292,0.0019001460632495082,0.004155580766710187,0.22555029134477467,0.23159260580073743,0.17275210577780392
regime_0_pair_06,unsupported_target_break,0,680,0.8658504486083984,0.9739049077033997,-1.5092111825942993,0.011675766130313292,5.6409177520112195,6.16586551789533,0.22555029134477467,5.337538079701318,5.337538079701318
regime_0_pair_06,target_omission_break,0,680,-1.4443310499191284,-1.15749192237854,0.9094411134719849,0.08227668508824593,5.540243397154882,4.272212174690267,0.6740989855892509,5.337538079701318,5.337538079701318
regime_0_pair_06,target_spike,0,680,4.331122875213623,-1.15749192237854,-1.5092111825942993,30.12489239634766,34.10950190679115,0.12370643800672099,5.337538079701318,5.337538079701318,0.8377284093710529
regime_0_pair_07,coherent_control,0,735,-2.7668099403381348,-2.31632137298584,-2.8713364601135254,0.20293994931512316,0.010925793336355127,0.3080417469393524,1.132845460310352,0.6740989855892509,1.466337068793427
regime_0_pair_07,unsupported_target_break,0,735,-2.7668099403381348,-2.31632137298584,-0.624047040939331,0.20293994931512316,4.591432843039968,2.8637924149034575,1.132845460310352,5.337538079701318,5.337538079701318
regime_0_pair_07,target_omission_break,0,735,-0.4566282629966736,-0.5989920496940613,-2.8713364601135254,0.0202674477628193,5.830815677223317,5.163549119564582,0.2876820724517809,5.337538079701318,5.337538079701318
regime_0_pair_07,target_spike,0,735,-6.232081890106201,-0.5989920496940613,-0.624047040939331,31.731701150154468,31.45005486947008,0.0006277525863005451,5.337538079701318,5.337538079701318,0.08004270767353637
regime_1_pair_00,coherent_control,1,24,1.3884971141815186,1.246931791305542,1.5987842082977295,0.020040740640979493,0.04422066195184016,0.1238001233432442,0.2876820724517809,1.508896683212223,0.8377284093710529
regime_1_pair_00,unsupported_target_break,1,24,1.3884971141815186,1.246931791305542,-0.8126200437545776,0.020040740640979493,4.844916742960677,4.241753761299506,0.2876820724517809,5.337538079701318,5.337538079701318
regime_1_pair_00,target_omission_break,1,24,-0.9216843843460083,-0.8919023275375366,1.5987842082977295,0.0008869709077430343,6.352761926503504,6.203519419791078,0.06453852113757118,5.337538079701318,5.337538079701318
regime_1_pair_00,target_spike,1,24,4.853769302368164,-0.8919023275375366,-0.8126200437545776,33.01274247870323,32.10796822185331,0.006285680521841641,5.337538079701318,5.337538079701318,0.20173964265105623
regime_1_pair_01,coherent_control,1,171,-2.868398904800415,-2.0496931076049805,-2.8484444618225098,0.670279182361412,0.0003981797945584731,0.638003725864337,2.3930991005348776,0.08004270767353637,2.293015641977895
regime_1_pair_01,unsupported_target_break,1,171,-2.868398904800415,-2.0496931076049805,-0.6701106429100037,0.670279182361412,4.832471282365166,1.903247776893867,2.3930991005348776,5.337538079701318,4.238925791033208
regime_1_pair_01,target_omission_break,1,171,-0.5582174062728882,-0.14691387116909027,-2.8484444618225098,0.16917059798888112,5.2451399659714895,7.298267532236213,1.006804739414987,5.337538079701318,5.337538079701318
regime_1_pair_01,target_spike,1,171,-6.3336710929870605,-0.14691387116909027,-0.6701106429100037,38.27596492171681,32.07591697167703,0.27373486196011343,5.337538079701318,5.337538079701318,1.330204894468847
regime_1_pair_02,coherent_control,1,222,2.6542418003082275,2.512686014175415,2.5855627059936523,0.02003804058767855,0.004716817995870315,0.005311012210370336,0.2876820724517809,0.3539314579929816,0.19587452319865817
regime_1_pair_02,unsupported_target_break,1,222,2.6542418003082275,2.512686014175415,0.1585557460784912,0.02003804058767855,6.22844888127679,5.5419293191700945,0.2876820724517809,5.337538079701318,5.337538079701318
regime_1_pair_02,target_omission_break,1,222,0.34406042098999023,0.5600630640983582,2.5855627059936523,0.04665714182980096,5.0243324936766385,4.102648799317965,0.49335099324272663,5.337538079701318,5.337538079701318
regime_1_pair_02,target_spike,1,222,6.119513988494873,0.5600630640983582,0.1585557460784912,30.907494580773264,35.5330231678318,0.16120812642350657,5.337538079701318,5.337538079701318,1.006804739414987
regime_1_pair_03,coherent_control,1,369,-1.6819305419921875,-1.3486782312393188,-1.505211591720581,0.11105710262212654,0.03122958738509851,0.02450269294355678,0.752570601030746,1.1944033533097853,0.4175571538731931
regime_1_pair_03,unsupported_target_break,1,369,-1.6819305419921875,-1.3486782312393188,0.9205310344696045,0.11105710262212654,6.772806256959996,5.149310691579231,0.752570601030746,5.337538079701318,5.337538079701318
regime_1_pair_03,target_omission_break,1,369,0.6282509565353394,0.7435247302055359,-1.505211591720581,0.013288042896167696,4.5516624448106455,5.056815045549801,0.24378787889455564,5.337538079701318,5.337538079701318
regime_1_pair_03,target_spike,1,369,-5.147202491760254,0.7435247302055359,0.9205310344696045,34.70066720360879,36.81739014533383,0.03133123174922403,5.337538079701318,5.337538079701318,0.4471889514795643
regime_1_pair_04,coherent_control,1,421,1.123813509941101,1.33393394947052,1.420199990272522,0.044150599108036204,0.08784494572324775,0.007441829795652666,0.48550781578170077,2.0794415416798357,0.21357410029805904
regime_1_pair_04,unsupported_target_break,1,421,1.123813509941101,1.33393394947052,-0.9766125082969666,0.044150599108036204,4.411789458091423,5.33862493350188,0.48550781578170077,5.337538079701318,5.337538079701318
regime_1_pair_04,target_omission_break,1,421,-1.1863679885864258,-0.841543436050415,1.420199990272522,0.11890397203166003,6.79419662841282,5.115483326515019,0.7836611881007771,5.337538079701318,5.337538079701318
regime_1_pair_04,target_spike,1,421,4.589086055755615,-0.841543436050415,-0.9766125082969666,29.491736677273423,30.97700050589697,0.018243654277544152,5.337538079701318,5.337538079701318,0.3608043372807436
regime_1_pair_05,coherent_control,1,568,-3.749382257461548,-2.198117256164551,-3.217391014099121,2.4064231042489723,0.28301468301430077,1.038918993614061,4.238925791033208,4.6443908991413725,3.391627930646005
regime_1_pair_05,unsupported_target_break,1,568,-3.749382257461548,-2.198117256164551,-1.2727864980697632,2.4064231042489723,6.133526555437371,0.8562370118762743,4.238925791033208,5.337538079701318,2.629487878599108
regime_1_pair_05,target_omission_break,1,568,-1.4392006397247314,-0.40737372636795044,-3.217391014099121,1.064666779127382,3.161961007517732,7.896197157348045,3.258096538021482,5.337538079701318,5.337538079701318
regime_1_pair_05,target_spike,1,568,-7.214653968811035,-0.40737372636795044,-1.2727864980697632,46.33906429915598,35.30578903985328,0.7489392654246139,5.337538079701318,5.337538079701318,2.5649493574615367
regime_1_pair_06,coherent_control,1,619,2.733630657196045,2.4373230934143066,2.6384520530700684,0.0877981723542689,0.009058966683369363,0.040452858412209025,0.6740989855892509,0.5500463369192721,0.4700036292457356
regime_1_pair_06,unsupported_target_break,1,619,2.733630657196045,2.4373230934143066,0.23721522092819214,0.0877981723542689,6.232090030436414,4.840474650575377,0.6740989855892509,5.337538079701318,5.337538079701318
regime_1_pair_06,target_omission_break,1,619,0.42344930768013,0.4826330542564392,2.6384520530700684,0.0035027158588087914,4.906237162084964,4.647555555645798,0.11718225462299321,5.337538079701318,5.337538079701318
regime_1_pair_06,target_spike,1,619,6.1989030838012695,0.4826330542564392,0.23721522092819214,32.67574305067245,35.54172217432816,0.06022991291553126,5.337538079701318,5.337538079701318,0.6101502609889775
regime_1_pair_07,coherent_control,1,767,-0.894897997379303,-1.0188151597976685,-1.0068165063858032,0.01535546314181957,0.012525752658238076,0.00014396768369806523,0.24994174446893389,0.7028090914716821,0.04423325497682554
regime_1_pair_07,unsupported_target_break,1,767,-0.894897997379303,-1.0188151597976685,1.4391062259674072,0.01535546314181957,5.44757571460028,6.04137753860131,0.24994174446893389,5.337538079701318,5.337538079701318
regime_1_pair_07,target_omission_break,1,767,1.4152835607528687,1.1152410507202148,-1.0068165063858032,0.09002550782669516,5.866568735233159,4.503128275670761,0.6740989855892509,5.337538079701318,5.337538079701318
regime_1_pair_07,target_spike,1,767,-4.360169887542725,1.1152410507202148,1.4391062259674072,29.980124942849443,33.63160344072918,0.10488865173789463,5.337538079701318,5.337538079701318,0.7731898882334817
