pair_id,role,is_pair,designated_target,scored_target,phase_bin,source_terminal_index,donor_terminal_index,relation_value,relation_velocity,target,mu_temporal,mu_cross,temporal_residual,cross_residual,disagreement,temporal_residual_tail,temporal_residual_reliability_feature,temporal_residual_reliability_stratum,cross_residual_tail,cross_residual_reliability_feature,cross_residual_reliability_stratum,disagreement_tail,disagreement_reliability_feature,disagreement_reliability_stratum,temporal_residual_tail_exceeds,cross_residual_tail_exceeds,disagreement_tail_exceeds,source_selection_block
target_0_phase_0_pair_00,coherent_control,True,0,0,0,160,352,0.8660253882408142,0.01636246219277382,1.9015156030654907,1.39767587184906,1.3129595518112183,0.2538544747522451,0.3463982254680218,0.0071768548807540355,0.8906781560174287,0.5356209759364459,0.0,2.230841188135204,0.726320274676962,1.0,0.14493402472233424,0.9024582933686899,0.0,False,False,False,0
target_0_phase_0_pair_00,unsupported_target_break,True,0,0,0,160,352,0.8660253882408142,0.01636246219277382,1.9015156030654907,1.39767587184906,-2.2005538940429688,0.2538544747522451,16.82697415910765,12.947257448151404,0.8906781560174287,0.5356209759364459,0.0,4.795790545596741,0.7683767535928976,1.0,5.529429087511423,0.9366390261595292,0.0,False,True,True,0
target_0_phase_0_pair_00,target_omission_break,True,0,0,0,160,352,0.8660253882408142,0.01636246219277382,-2.991419792175293,-1.6711503267288208,1.3129595518112183,1.7431114613903134,18.52768153693775,8.904911767200247,3.3596034843633182,0.6387444438692921,1.0,4.795790545596741,0.726320274676962,1.0,5.278114659230518,0.9672308958985485,1.0,True,True,True,0
target_0_phase_0_pair_00,target_spike,True,0,0,0,160,352,0.8660253882408142,0.01636246219277382,5.0155134201049805,1.39767587184906,1.3129595518112183,13.08874852557041,13.708905147617102,0.0071768548807540355,5.356586274672012,0.5356209759364459,0.0,4.795790545596741,0.726320274676962,1.0,0.14493402472233424,0.9024582933686899,0.0,True,True,False,0
target_0_phase_0_pair_01,coherent_control,True,0,0,0,531,339,0.5824776887893677,0.026600345969200134,-1.160305142402649,-0.5656295418739319,-0.9253947734832764,0.35363906986419025,0.05518288142583572,0.12943102187492528,1.2858238307562562,0.6847106884317089,2.0,0.6061358035703156,0.740245682003753,1.0,0.6433856710008815,1.008361243095859,1.0,False,False,False,1
target_0_phase_0_pair_01,unsupported_target_break,True,0,0,0,531,339,0.5824776887893677,0.026600345969200134,-1.160305142402649,-0.5656295418739319,1.9787688255310059,0.35363906986419025,9.85378537615874,6.473963052052913,1.2858238307562562,0.6847106884317089,2.0,4.795790545596741,0.7286440213654004,1.0,5.278114659230518,0.9998754106008242,1.0,False,True,True,1
target_0_phase_0_pair_01,target_omission_break,True,0,0,0,531,339,0.5824776887893677,0.026600345969200134,2.523561954498291,1.4665180444717407,-0.9253947734832764,1.1173418277242178,11.89530251148932,5.721246928697511,2.378774231351592,0.6655694072208221,1.0,4.795790545596741,0.740245682003753,1.0,5.278114659230518,0.9954628599568535,1.0,False,True,True,1
target_0_phase_0_pair_01,target_spike,True,0,0,0,531,339,0.5824776887893677,0.026600345969200134,-4.274303436279297,-0.5656295418739319,-0.9253947734832764,13.754262055043856,11.21518923175023,0.12943102187492528,4.812184355372417,0.6847106884317089,2.0,4.795790545596741,0.740245682003753,1.0,0.6433856710008815,1.008361243095859,1.0,False,True,False,1
target_0_phase_0_pair_02,coherent_control,True,0,0,0,1123,1315,0.9108638167381287,0.013505806215107441,2.229717254638672,1.6528087854385376,1.666988492012024,0.3328233818348423,0.3166636602873183,0.00020106407851017138,1.2286654169163076,0.8785135877304207,2.0,2.456735772821304,0.8203194527508658,2.0,0.013793322132335873,1.2019609512743978,2.0,False,False,False,2
target_0_phase_0_pair_02,unsupported_target_break,True,0,0,0,1123,1315,0.9108638167381287,0.013505806215107441,2.229717254638672,1.6528087854385376,-1.9605987071990967,0.3328233818348423,17.558747860032383,13.056713707849795,1.2286654169163076,0.8785135877304207,2.0,4.795790545596741,0.7527024678866443,1.0,4.983606621708336,1.1568695384483163,2.0,False,True,True,2
target_0_phase_0_pair_02,target_omission_break,True,0,0,0,1123,1315,0.9108638167381287,0.013505806215107441,-2.2345809936523438,-1.1579641103744507,1.666988492012024,1.1591039133590044,15.222244451467319,7.980357205730115,2.512305623976115,0.6535939222666437,1.0,5.1647859739235145,0.8203194527508658,2.0,4.983606621708336,1.0488608200258867,2.0,False,True,True,2
