paper_dataset,variant,seed,auc_roc,auc_pr,r_auc_roc,r_auc_pr,vus_roc,vus_pr,affiliation_f,affiliation_precision,affiliation_recall,point_f1,point_precision,point_recall,paper_catch_auc_roc,paper_catch_affiliation_f,delta_auc_roc_vs_paper_catch,delta_affiliation_f_vs_paper_catch
CalIt2,adaptive,20261,0.672228900417563,0.07619760592485258,0.6369020224664006,0.09067912000094,0.6272888472879199,0.08769281805165809,0.2701084439731448,0.4576856323107208,0.1915882180351065,0.0,0.0,0.0,0.838,0.835,-0.16577109958243696,-0.5648915560268551
CalIt2,adaptive,20262,0.6720580792104265,0.07662408908254184,0.6408779360333274,0.0909428584347556,0.6304170529434717,0.087925905707375,0.2701084439731448,0.4576856323107208,0.1915882180351065,0.0,0.0,0.0,0.838,0.835,-0.16594192078957348,-0.5648915560268551
CalIt2,adaptive,20263,0.6728046311527268,0.0762551973770792,0.6363586423425995,0.09081191702306599,0.6269710197111033,0.08786532655739626,0.2688709964206841,0.4506567250299243,0.1915882180351065,0.0,0.0,0.0,0.838,0.835,-0.16519536884727315,-0.5661290035793158
CalIt2,causal_catch,20261,0.6724028849803871,0.076405393561548,0.6445743897902199,0.09108211036291602,0.6310411759068203,0.08800273327516027,0.2701084439731448,0.4576856323107208,0.1915882180351065,0.0,0.0,0.0,0.838,0.835,-0.16559711501961283,-0.5648915560268551
CalIt2,causal_catch,20262,0.6732063773250665,0.07656811147341991,0.6441155063814561,0.09115425337253931,0.631380814482655,0.08805591221313751,0.2701084439731448,0.4576856323107208,0.1915882180351065,0.0,0.0,0.0,0.838,0.835,-0.16479362267493347,-0.5648915560268551
CalIt2,causal_catch,20263,0.6715709224345185,0.0760889553530993,0.6434483013453363,0.091046528673374,0.6299730418519149,0.08794364294557032,0.2688709964206841,0.4506567250299243,0.1915882180351065,0.0,0.0,0.0,0.838,0.835,-0.16642907756548142,-0.5661290035793158
CalIt2,fixed,20261,0.6719220549158547,0.07659402959267764,0.6398011331607214,0.09097011823508674,0.629499906239214,0.08791318569505463,0.2701084439731448,0.4576856323107208,0.1915882180351065,0.0,0.0,0.0,0.838,0.835,-0.1660779450841453,-0.5648915560268551
CalIt2,fixed,20262,0.6707326331772745,0.0765941279735799,0.6384301246158797,0.09083730596249995,0.6281632712322074,0.08784986650900767,0.2701084439731448,0.4576856323107208,0.1915882180351065,0.0,0.0,0.0,0.838,0.835,-0.16726736682272547,-0.5648915560268551
CalIt2,fixed,20263,0.6727983044413514,0.07628050262304209,0.6374439923640643,0.09088972805682252,0.6288665131232216,0.08792301325611941,0.2695377659608967,0.4544250669594753,0.1915882180351065,0.0,0.0,0.0,0.838,0.835,-0.1652016955586486,-0.5654622340391033
Genesis,adaptive,20261,0.7100420235978666,0.22572664957568872,0.7977864394995697,0.11176434291623599,0.778734957659917,0.11246868972072822,0.8341642500499917,0.7441432210831525,0.948962868751342,0.15602836879432624,0.12087912087912088,0.22,0.974,0.896,-0.26395797640213337,-0.06183574995000829
Genesis,adaptive,20262,0.7100420235978665,0.22555286859825396,0.7978185633529216,0.11176581786563247,0.7787665224798431,0.11246998188097085,0.8341642500499917,0.7441432210831525,0.948962868751342,0.15602836879432624,0.12087912087912088,0.22,0.974,0.896,-0.2639579764021335,-0.06183574995000829
Genesis,causal_catch,20261,0.7100420235978665,0.22558371179233325,0.7977864394995697,0.11176434291623599,0.778734957659917,0.11246868972072822,0.8341642500499917,0.7441432210831525,0.948962868751342,0.15602836879432624,0.12087912087912088,0.22,0.974,0.896,-0.2639579764021335,-0.06183574995000829
Genesis,causal_catch,20262,0.7100420235978666,0.22562459834755144,0.7977864394995697,0.11176434291623599,0.778734957659917,0.11246868972072822,0.8341642500499917,0.7441432210831525,0.948962868751342,0.15602836879432624,0.12087912087912088,0.22,0.974,0.896,-0.26395797640213337,-0.06183574995000829
Genesis,causal_catch,20263,0.7100420235978665,0.22570558823845413,0.7977864394995697,0.11176434291623599,0.778734957659917,0.11246868972072822,0.8341642500499917,0.7441432210831525,0.948962868751342,0.15602836879432624,0.12087912087912088,0.22,0.974,0.896,-0.2639579764021335,-0.06183574995000829
Genesis,fixed,20261,0.7100420235978665,0.2256313778437277,0.7977972920465753,0.11176484046702954,0.7787455585032066,0.11246912406149742,0.8341642500499917,0.7441432210831525,0.948962868751342,0.15602836879432624,0.12087912087912088,0.22,0.974,0.896,-0.2639579764021335,-0.06183574995000829
Genesis,fixed,20262,0.7100420235978665,0.22542326842440571,0.7977864394995697,0.11176434291623599,0.778734957659917,0.11246868972072822,0.8341642500499917,0.7441432210831525,0.948962868751342,0.15602836879432624,0.12087912087912088,0.22,0.974,0.896,-0.2639579764021335,-0.06183574995000829
Genesis,fixed,20263,0.7100420235978664,0.22545972127704964,0.7977972920465753,0.11176484046702954,0.7787455585032066,0.11246912406149742,0.8341642500499917,0.7441432210831525,0.948962868751342,0.15602836879432624,0.12087912087912088,0.22,0.974,0.896,-0.2639579764021336,-0.06183574995000829
