method,mechanism,average_precision,test_prevalence,ap_over_prevalence,calibration_threshold,calibration_count,fit_end,regime_0_fpr,regime_1_fpr,regime_0_count,regime_1_count,regime_fpr_gap,matched_ordering_rate,score_file,score_sha256,score_key
A11_causal_delta_state_tail_dev,same_deviation_different_context,0.12648888705445238,0.03125,0.09523888705445238,2.53873403877216,308,1205,0.0,0.02252252252252252,222,222,0.02252252252252252,0.6666666666666666,/media/h3c/users/wangyueyang1/cxy/PatternAD-main/result/patternad_synthetic/dev_causal_delta_state_tail/scores/same_deviation_different_context.npz,e8a6f2ddadee1586fce1fde79974c46ec71a3a61c81c414f5ca509b582eecfaf,score
A11_causal_delta_state_tail_dev,slow_drift_vs_abrupt_shift,0.047871634640038185,0.020833333333333332,0.027038301306704853,2.53873403877216,308,1205,0.0,0.02710027100271003,90,369,0.02710027100271003,0.0,/media/h3c/users/wangyueyang1/cxy/PatternAD-main/result/patternad_synthetic/dev_causal_delta_state_tail/scores/slow_drift_vs_abrupt_shift.npz,d36662ba773ff1e04235e844a4c6a5e808814e2295d2dbfa387c779884d444a4,score
A11_causal_delta_state_tail_dev,dependency_break,0.09922637416601776,0.15625,-0.05702362583398224,2.53873403877216,308,1205,0.0,0.026041666666666668,126,384,0.026041666666666668,,/media/h3c/users/wangyueyang1/cxy/PatternAD-main/result/patternad_synthetic/dev_causal_delta_state_tail/scores/dependency_break.npz,3bef4ed2d884570a018dea43a398b72fb3797c41430484fe051a39dda5feba12,score
A11_causal_delta_state_tail_dev,context_ood,0.14341456501709599,0.17708333333333334,-0.03366876831623736,2.53873403877216,308,1205,0.0,0.025925925925925925,270,270,0.025925925925925925,,/media/h3c/users/wangyueyang1/cxy/PatternAD-main/result/patternad_synthetic/dev_causal_delta_state_tail/scores/context_ood.npz,bd82ce8db35bfe2f7aee362b65b92d3e7ee1ea64ff491dfa0eef9401030fbaf3,score
