level,descriptor,target,removed_group,n,remaining_n,full_rho,group_loo_rho,absolute_shift,sign_flip
task,channel_count,delta_auc_pr,PSM,23,22,-0.24586446373094079,-0.215205278573645,0.030659185157295793,False
task,channel_count,delta_auc_pr,Genesis,23,22,-0.24586446373094079,-0.18258516150259754,0.06327930222834324,False
task,channel_count,delta_auc_pr,GECCO,23,22,-0.24586446373094079,-0.3361787601990394,0.09031429646809863,False
task,channel_count,delta_auc_pr,CalIt2,23,22,-0.24586446373094079,-0.21404409135608563,0.03182037237485516,False
task,channel_count,delta_auc_pr,NYC,23,22,-0.24586446373094079,-0.39971346166784866,0.15384899793690787,False
task,channel_count,delta_auc_pr,MSL,23,22,-0.24586446373094079,-0.2757282675393956,0.029863803808454825,False
task,channel_count,delta_auc_pr,ASD,23,11,-0.24586446373094079,-0.06833730713673078,0.17752715659421,False
task,channel_count,delta_auc_pr,CICIDS,23,22,-0.24586446373094079,-0.241185128876742,0.0046793348541987745,False
task,channel_count,delta_auc_pr,Creditcard,23,22,-0.24586446373094079,-0.2572230146844027,0.011358550953461888,False
task,channel_count,delta_auc_pr,SMAP,23,22,-0.24586446373094079,-0.19917279363692647,0.046691670094014315,False
task,channel_count,delta_auc_pr,SMD,23,22,-0.24586446373094079,-0.23625039478207724,0.009614068948863547,False
task,channel_count,delta_auc_pr,SWAT,23,22,-0.24586446373094079,-0.15421044045827492,0.09165402327266586,False
task,channel_count,delta_auc_roc,PSM,23,22,-0.5317285690666984,-0.4957737649662195,0.03595480410047891,False
task,channel_count,delta_auc_roc,Genesis,23,22,-0.5317285690666984,-0.5434375921749609,0.011709023108262495,False
task,channel_count,delta_auc_roc,GECCO,23,22,-0.5317285690666984,-0.5890838825506103,0.057355313483911874,False
task,channel_count,delta_auc_roc,CalIt2,23,22,-0.5317285690666984,-0.5212312887489693,0.010497280317729119,False
task,channel_count,delta_auc_roc,NYC,23,22,-0.5317285690666984,-0.6501512169720873,0.11842264790538892,False
task,channel_count,delta_auc_roc,MSL,23,22,-0.5317285690666984,-0.5107449787978067,0.02098359026889174,False
task,channel_count,delta_auc_roc,ASD,23,11,-0.5317285690666984,-0.6195915847063591,0.0878630156396607,False
task,channel_count,delta_auc_roc,CICIDS,23,22,-0.5317285690666984,-0.45893027080382626,0.07279829826287215,False
