pair_id,role,is_pair,designated_target,scored_target,phase_bin,source_terminal_index,donor_terminal_index,relation_value,relation_velocity,target,mu_temporal,mu_cross,temporal_residual,cross_residual,disagreement,temporal_residual_tail,temporal_residual_reliability_feature,temporal_residual_reliability_stratum,cross_residual_tail,cross_residual_reliability_feature,cross_residual_reliability_stratum,disagreement_tail,disagreement_reliability_feature,disagreement_reliability_stratum,temporal_residual_tail_exceeds,cross_residual_tail_exceeds,disagreement_tail_exceeds,source_selection_block
target_0_phase_0_pair_00,coherent_control,True,0,0,0,348,540,0.7933533191680908,0.019921671599149704,0.8932574391365051,0.6089526414871216,1.0343687534332275,0.08082921796645692,0.019912403022548375,0.18097886830334176,0.5156918134171636,0.5044230071630955,0.0,0.4010107577587842,0.6270916536983051,0.0,0.8179973834394213,0.804789731727198,0.0,False,False,False,0
target_0_phase_0_pair_00,unsupported_target_break,True,0,0,0,348,540,0.7933533191680908,0.019921671599149704,0.8932574391365051,0.6089526414871216,-2.1602470874786377,0.08082921796645692,9.323889894059167,7.668467138904035,0.5156918134171636,0.5044230071630955,0.0,5.4116460518550396,0.6563166163709582,0.0,5.3612921657094255,0.8277645021865119,0.0,False,True,True,0
target_0_phase_0_pair_00,target_omission_break,True,0,0,0,348,540,0.7933533191680908,0.019921671599149704,-3.0439722537994385,-1.8831641674041748,1.0343687534332275,1.347475413440634,16.632865371275557,8.511998344170024,3.0185469513201624,0.5790978676006647,1.0,5.4116460518550396,0.6270916536983051,0.0,5.3612921657094255,0.8535796871983963,0.0,True,True,True,0
target_0_phase_0_pair_00,target_spike,True,0,0,0,348,540,0.7933533191680908,0.019921671599149704,4.000373363494873,0.6089526414871216,1.0343687534332275,11.501734513663578,8.797183346906934,0.18097886830334176,5.327876168789581,0.5044230071630955,0.0,5.4116460518550396,0.6270916536983051,0.0,0.8179973834394213,0.804789731727198,0.0,True,True,False,0
target_0_phase_0_pair_01,coherent_control,True,0,0,0,537,1113,0.7298640608787537,0.022370506078004837,-2.0046472549438477,-1.408016324043274,-1.7461400032043457,0.3559684677072852,0.06682599920191024,0.1143276224094194,1.2660081952453885,0.5711762421828319,1.0,0.9007865453381898,0.6667583433560343,0.0,0.5749417584136495,0.8779572814601998,1.0,False,False,False,1
target_0_phase_0_pair_01,unsupported_target_break,True,0,0,0,537,1113,0.7298640608787537,0.022370506078004837,-2.0046472549438477,-1.408016324043274,1.8603107929229736,0.3559684677072852,14.93790071177051,10.681962143496904,1.2660081952453885,0.5711762421828319,1.0,5.43372200355424,0.7122000332953112,1.0,5.572154032177765,0.9129464316486172,1.0,False,True,True,1
target_0_phase_0_pair_01,target_omission_break,True,0,0,0,537,1113,0.7298640608787537,0.022370506078004837,2.5560035705566406,1.6837692260742188,-1.7461400032043457,0.7607927516946802,18.50843932925295,11.764277321090276,1.9708077006770406,0.7010569376717503,2.0,5.4116460518550396,0.6667583433560343,0.0,4.770684624465665,0.9674954874791798,2.0,False,True,True,1
target_0_phase_0_pair_01,target_spike,True,0,0,0,537,1113,0.7298640608787537,0.022370506078004837,-5.111763000488281,-1.408016324043274,-1.7461400032043457,13.717739443277438,11.327418159846502,0.1143276224094194,5.583496308781699,0.5711762421828319,1.0,5.4116460518550396,0.6667583433560343,0.0,0.5749417584136495,0.8779572814601998,1.0,True,True,False,1
target_0_phase_0_pair_02,coherent_control,True,0,0,0,922,538,0.751839816570282,0.02157704159617424,1.2234288454055786,1.7375568151474,1.490196704864502,0.2643275692708471,0.07116509084029587,0.061187024159167436,1.0948599390495592,0.5759505976913609,1.0,1.0270027562899866,0.6869305444052232,1.0,0.41886243767998566,0.8964333013771254,1.0,False,False,False,2
target_0_phase_0_pair_02,unsupported_target_break,True,0,0,0,922,538,0.751839816570282,0.02157704159617424,1.2234288454055786,1.7375568151474,-2.0582613945007324,0.2643275692708471,10.769490830696341,14.408235880696353,1.0948599390495592,0.5759505976913609,1.0,5.4116460518550396,0.6648562886227583,0.0,5.572154032177765,0.8796322956225882,1.0,False,True,True,2
target_0_phase_0_pair_02,target_omission_break,True,0,0,0,922,538,0.751839816570282,0.02157704159617424,-2.4888384342193604,-1.4943633079528809,1.490196704864502,0.9889807767627303,15.832720638064131,8.907598470108496,2.4480020928525494,0.565660677254391,1.0,5.43372200355424,0.6869305444052232,1.0,5.572154032177765,0.8898570529184744,1.0,False,True,True,2
target_0_phase_0_pair_02,target_spike,True,0,0,0,922,538,0.751839816570282,0.02157704159617424,4.330544471740723,1.7375568151474,1.490196704864502,6.7235849872453315,8.067575436798734,0.061187024159167436,5.583496308781699,0.5759505976913609,1.0,5.43372200355424,0.6869305444052232,1.0,0.41886243767998566,0.8964333013771254,1.0,True,True,False,2
target_0_phase_0_pair_03,coherent_control,True,0,0,0,1487,527,0.4713967442512512,0.028860805556178093,2.515795946121216,1.4806597232818604,2.0461041927337646,1.0715069998341278,0.22061034320017825,0.31972744803374553,2.23907168727172,0.7847560872431173,2.0,1.9042374526547454,0.8506275936669961,2.0,1.1071229783360184,1.15732857027416,2.0,False,False,False,3
target_0_phase_0_pair_03,unsupported_target_break,True,0,0,0,1487,527,0.4713967442512512,0.028860805556178093,2.515795946121216,1.4806597232818604,-0.6537485122680664,1.0715069998341278,10.046012073706208,4.555698515983352,2.23907168727172,0.7847560872431173,2.0,4.948759890378168,0.8316987886462717,2.0,4.770684624465665,1.1434880810488595,2.0,False,True,True,3
target_0_phase_0_pair_03,target_omission_break,True,0,0,0,1487,527,0.4713967442512512,0.028860805556178093,-1.0509235858917236,-0.8117313385009766,2.0461041927337646,0.05721293121183635,9.591581061577926,8.167223923587756,0.3849992775158733,0.5551975492257083,1.0,4.948759890378168,0.8506275936669961,2.0,4.770684624465665,1.015781286386955,2.0,False,True,True,3
target_0_phase_0_pair_03,target_spike,True,0,0,0,1487,527,0.4713967442512512,0.028860805556178093,5.6229119300842285,1.4806597232818604,2.0461041927337646,17.15825334475909,12.793553589970145,0.31972744803374553,4.804021044733257,0.7847560872431173,2.0,4.948759890378168,0.8506275936669961,2.0,1.1071229783360184,1.15732857027416,2.0,True,True,False,3
target_0_phase_0_drift_00,normal_relation_drift_control,False,0,0,0,128,-1,-4.898587410340671e-16,0.03272492438554764,1.1450555324554443,1.1572569608688354,1.1593599319458008,0.00014887485532710798,0.00020461584477970973,4.4224873505527285e-06,0.01515180502060222,0.6011323155071909,1.0,0.02150620522096362,0.7632277105494041,2.0,-0.0,0.9715331177564263,2.0,False,False,False,-1
target_0_phase_0_drift_01,normal_relation_drift_control,False,0,0,0,320,-1,-7.347880586115415e-16,0.03272492438554764,0.31049081683158875,0.3795775771141052,0.312991738319397,0.0047729804463338965,6.254608288180918e-06,0.0044336739279948745,0.07816477284933626,0.5482106871823572,1.0,0.01762160134981956,0.6795359911855724,1.0,0.09343400664609693,0.8731002925537883,0.0,False,False,False,-1
target_0_phase_0_drift_02,normal_relation_drift_control,False,0,0,0,1088,-1,-1.7145055406796758e-15,0.03272492438554764,-0.9602221250534058,-0.7428910136222839,-0.5155803561210632,0.04723281199588669,0.19770630267928269,0.051670135013637264,0.40789524296145613,0.43164060168670465,0.0,2.214846178686039,0.697289438908308,1.0,0.42681823257873336,0.8200769297069168,0.0,False,False,False,-1
target_0_phase_0_drift_03,normal_relation_drift_control,False,0,0,0,1472,-1,-2.204364281713743e-15,0.03272492438554764,-0.15142852067947388,0.3248524069786072,-0.03535735607147217,0.22684352205084224,0.013472515253457829,0.1297510733965943,0.9973585549629368,0.8647387208667168,2.0,0.2666286632539486,0.8645282138865448,2.0,0.6118015411059929,1.22277638510566,2.0,False,False,False,-1
target_0_phase_1_pair_00,coherent_control,True,0,0,1,203,395,0.6343932747840881,0.025296708568930626,-3.8611278533935547,-2.1881906986236572,-2.598719596862793,2.7987187238096,1.5936746061570375,0.16853397628943867,4.804021044733257,0.6946898256723972,2.0,4.948759890378168,0.7437176528271655,2.0,0.7102416139192453,1.0176983349792283,2.0,True,True,False,0
target_0_phase_1_pair_00,unsupported_target_break,True,0,0,1,203,395,0.6343932747840881,0.025296708568930626,-3.8611278533935547,-2.1881906986236572,1.2514007091522217,2.7987187238096,26.137948302846382,11.830789052445652,4.804021044733257,0.6946898256723972,2.0,5.43372200355424,0.6891967059544968,1.0,4.770684624465665,0.9785632597800077,2.0,True,True,True,0
target_0_phase_1_pair_00,target_omission_break,True,0,0,1,203,395,0.6343932747840881,0.025296708568930626,1.0673307180404663,1.5715519189834595,-2.598719596862793,0.2542390194803943,13.439924911402287,17.3911645158786,1.0904489780289488,0.7621379560532234,2.0,4.948759890378168,0.7437176528271655,2.0,4.770684624465665,1.0648803741189585,2.0,False,True,True,0
target_0_phase_1_pair_00,target_spike,True,0,0,1,203,395,0.6343932747840881,0.025296708568930626,-6.9682440757751465,-2.1881906986236572,-2.598719596862793,22.848910288417358,19.092744171814275,0.16853397628943867,4.804021044733257,0.6946898256723972,2.0,4.948759890378168,0.7437176528271655,2.0,0.7102416139192453,1.0176983349792283,2.0,True,True,False,0
target_0_phase_1_pair_01,coherent_control,True,0,0,1,780,204,0.6087614297866821,0.025962427258491516,1.0275284051895142,0.0777244120836258,0.7245845794677734,0.9021276253198904,0.09177496154292442,0.4184280761482475,2.23907168727172,0.7128733978935947,2.0,1.1349799328389845,0.6650579429674974,0.0,1.2741770629991847,0.9749310482944517,2.0,False,False,False,1
target_0_phase_1_pair_01,unsupported_target_break,True,0,0,1,780,204,0.6087614297866821,0.025962427258491516,1.0275284051895142,0.0777244120836258,-2.3159382343292236,0.9021276253198904,11.178769169574721,5.729620864832166,2.23907168727172,0.7128733978935947,2.0,4.948759890378168,0.7475217429275942,2.0,4.770684624465665,1.032945902539851,2.0,False,True,True,1
target_0_phase_1_pair_01,target_omission_break,True,0,0,1,780,204,0.6087614297866821,0.025962427258491516,-3.213517904281616,-2.1591761112213135,0.7245845794677734,1.1116366165936142,15.508651172513112,8.3160757211636,2.3191143949452564,0.6887197911768946,2.0,5.4116460518550396,0.6650579429674974,0.0,5.572154032177765,0.9574116242572493,1.0,False,True,True,1
target_0_phase_1_pair_01,target_spike,True,0,0,1,780,204,0.6087614297866821,0.025962427258491516,4.134644508361816,0.0777244120836258,0.7245845794677734,16.458600667585845,11.628508718648845,0.4184280761482475,4.804021044733257,0.7128733978935947,2.0,5.4116460518550396,0.6650579429674974,0.0,1.2741770629991847,0.9749310482944517,2.0,True,True,False,1
target_0_phase_1_pair_02,coherent_control,True,0,0,1,948,1332,0.9914448857307434,0.004271459765732288,-2.9319300651550293,-1.7442315816879272,-2.1469180583953857,1.410627687630054,0.6162438507568027,0.16215639852306651,2.7245795030534206,0.6611200254772365,2.0,4.31303376318693,0.6430285144501815,0.0,0.7358721252262865,0.9222610034491479,1.0,False,True,False,2
target_0_phase_1_pair_02,unsupported_target_break,True,0,0,1,948,1332,0.9914448857307434,0.004271459765732288,-2.9319300651550293,-1.7442315816879272,1.6837407350540161,1.410627687630054,21.30441693590241,11.750994204349126,2.7245795030534206,0.6611200254772365,2.0,5.4116460518550396,0.6090532932720384,0.0,5.572154032177765,0.8989024430562736,1.0,False,True,True,2
target_0_phase_1_pair_02,target_omission_break,True,0,0,1,948,1332,0.9914448857307434,0.004271459765732288,1.7649855613708496,1.415063500404358,-2.1469180583953857,0.12244544875103713,15.302989930340175,12.687712625229452,0.6635153829535742,0.6136032804207295,1.0,5.4116460518550396,0.6430285144501815,0.0,5.572154032177765,0.8888164355698468,1.0,False,True,True,2
target_0_phase_1_pair_02,target_spike,True,0,0,1,948,1332,0.9914448857307434,0.004271459765732288,-6.039045810699463,-1.7442315816879272,-2.1469180583953857,18.44542926171995,15.148658440255588,0.16215639852306651,4.804021044733257,0.6611200254772365,2.0,5.4116460518550396,0.6430285144501815,0.0,0.7358721252262865,0.9222610034491479,1.0,True,True,False,2
target_0_phase_1_pair_03,coherent_control,True,0,0,1,1535,383,0.8819212913513184,0.015426422469317913,0.8525106906890869,0.39467692375183105,1.0108720064163208,0.20961175814795752,0.025078306318860655,0.37969637989989735,0.953873443023198,0.6714909078364174,2.0,0.44880142159513264,0.6540915311568168,0.0,1.445019647132673,0.9374090731575224,1.0,False,False,False,3
target_0_phase_1_pair_03,unsupported_target_break,True,0,0,1,1535,383,0.8819212913513184,0.015426422469317913,0.8525106906890869,0.39467692375183105,-1.730626106262207,0.20961175814795752,6.67259571176379,4.516912969386851,0.953873443023198,0.6714909078364174,2.0,5.4116460518550396,0.6130727857169214,0.0,5.572154032177765,0.9092624922945421,1.0,False,True,True,3
target_0_phase_1_pair_03,target_omission_break,True,0,0,1,1535,383,0.8819212913513184,0.015426422469317913,-1.9257034063339233,-0.9858280420303345,1.0108720064163208,0.8833657004248039,8.623475154769267,3.9868110834668755,2.23907168727172,0.6756911495524153,2.0,5.4116460518550396,0.6540915311568168,0.0,5.572154032177765,0.9404223842053812,1.0,False,True,True,3
target_0_phase_1_pair_03,target_spike,True,0,0,1,1535,383,0.8819212913513184,0.015426422469317913,3.9596264362335205,0.39467692375183105,1.0108720064163208,12.708865026543435,8.695152687366559,0.37969637989989735,4.804021044733257,0.6714909078364174,2.0,5.4116460518550396,0.6540915311568168,0.0,1.445019647132673,0.9374090731575224,1.0,True,True,False,3
target_0_phase_1_drift_00,normal_relation_drift_control,False,0,0,1,992,-1,5.144754454812321e-15,0.03272492438554764,0.5801436305046082,0.4145955443382263,0.5289865732192993,0.027406168833351785,0.00261704451009237,0.013085307488470477,0.3613697882429401,0.6481710530498713,2.0,0.11834122713054751,0.6498215263523209,0.0,0.19225667863730506,0.9178200968178019,1.0,False,False,False,-1
target_0_phase_1_drift_01,normal_relation_drift_control,False,0,0,1,224,-1,2.3886801333439364e-15,0.03272492438554764,-1.8363440036773682,-1.3110214471817017,-1.4973788261413574,0.2759637883631427,0.11489739158201928,0.03472907269271275,1.1175881901271154,0.6306985234398834,1.0,1.404312866622569,0.6130101442623977,0.0,0.31465866014998295,0.87952377138873,1.0,False,False,False,-1
