source_id,role,regime,primary_pair_id,coordination_pair_id,raw_score_name,raw_compatibility_score,compatibility_tail,reliability_bin,outer_threshold,outer_exceedance
regime_0_source_07,normal_scheduled_transition,0,regime_0_source_07_primary,,event_pre_future_contrastive_energy,1.192748785018921,0.9959581346080263,0,4.0163830207523885,0
regime_0_source_07,incompatible_timing_transition,0,regime_0_source_07_primary,,event_pre_future_contrastive_energy,1.1927448511123657,0.9329451667792923,0,4.0163830207523885,0
regime_0_source_07,normal_coordinated_transition,0,,regime_0_source_07_coordination,event_pre_future_contrastive_energy,1.1927095651626587,0.2747530012529236,0,4.0163830207523885,0
regime_0_source_07,unsupported_transition,0,,regime_0_source_07_coordination,event_pre_future_contrastive_energy,1.1930550336837769,5.808142489980444,0,4.0163830207523885,1
regime_0_source_07,no_event_normal_control,0,,,event_pre_future_contrastive_energy,1.1926885843276978,0.16269559233720615,0,4.0163830207523885,0
regime_1_source_00,normal_scheduled_transition,1,regime_1_source_00_primary,,event_pre_future_contrastive_energy,1.1927202939987183,0.591937278628432,1,2.932674137586854,0
regime_1_source_00,incompatible_timing_transition,1,regime_1_source_00_primary,,event_pre_future_contrastive_energy,1.1927001476287842,0.31365755885504165,1,2.932674137586854,0
regime_1_source_00,normal_coordinated_transition,1,,regime_1_source_00_coordination,event_pre_future_contrastive_energy,1.1927446126937866,0.9030649696548938,1,2.932674137586854,0
regime_1_source_00,unsupported_transition,1,,regime_1_source_00_coordination,event_pre_future_contrastive_energy,1.1925948858261108,0.08004270767353637,1,2.932674137586854,0
regime_1_source_00,no_event_normal_control,1,,,event_pre_future_contrastive_energy,1.1926994323730469,0.31365755885504165,1,2.932674137586854,0
regime_1_source_01,normal_scheduled_transition,1,regime_1_source_01_primary,,event_pre_future_contrastive_energy,1.192748785018921,1.0439224023714893,1,2.932674137586854,0
regime_1_source_01,incompatible_timing_transition,1,regime_1_source_01_primary,,event_pre_future_contrastive_energy,1.1927448511123657,1.0272553498862778,1,2.932674137586854,0
