pair_id,role,is_pair,designated_target,scored_target,phase_bin,source_terminal_index,donor_terminal_index,relation_value,relation_velocity,target,mu_temporal,mu_cross,temporal_residual,cross_residual,disagreement,temporal_residual_tail,temporal_residual_reliability_feature,temporal_residual_reliability_stratum,cross_residual_tail,cross_residual_reliability_feature,cross_residual_reliability_stratum,disagreement_tail,disagreement_reliability_feature,disagreement_reliability_stratum,temporal_residual_tail_exceeds,cross_residual_tail_exceeds,disagreement_tail_exceeds
target_0_phase_0_pair_00,coherent_control,True,0,0,0,128,909,-4.898587410340671e-16,0.03272492438554764,0.4774329662322998,1.0041574239730835,0.7676977515220642,0.2774386543823226,0.08425364557931303,0.05591317669564333,0.9420432279765697,0.5158436014986013,1.0,0.9873866535578852,0.829532901401898,2.0,0.3692620594442038,0.9768415714512251,2.0,False,False,False
target_0_phase_0_pair_00,unsupported_target_break,True,0,0,0,128,909,-4.898587410340671e-16,0.03272492438554764,0.4774329662322998,1.0041574239730835,-2.7329437732696533,0.2774386543823226,10.306518809535191,13.965925358433097,0.9420432279765697,0.5158436014986013,1.0,4.624972813284271,0.7862373023595635,2.0,5.6131281063880705,0.9403529745944824,1.0,False,True,True
target_0_phase_0_pair_00,target_omission_break,True,0,0,0,128,909,-4.898587410340671e-16,0.03272492438554764,-3.0441794395446777,-2.0608582496643066,0.7676977515220642,0.9669205624677488,14.530407719774875,8.000729051847433,2.281144761756176,0.6863040705277393,2.0,4.624972813284271,0.829532901401898,2.0,5.37989735354046,1.076632765492113,2.0,False,True,True
target_0_phase_0_pair_00,target_spike,True,0,0,0,128,909,-4.898587410340671e-16,0.03272492438554764,3.5008301734924316,1.0041574239730835,0.7676977515220642,6.233374818192502,7.470012836025607,0.05591317669564333,5.176149732573829,0.5158436014986013,1.0,4.624972813284271,0.829532901401898,2.0,0.3692620594442038,0.9768415714512251,2.0,True,True,False
target_0_phase_0_pair_01,coherent_control,True,0,0,0,543,909,0.8492021560668945,0.017280979081988335,0.919175386428833,-0.15390245616436005,1.0779948234558105,1.1514960562644616,0.025223613577566084,1.5175709075355768,2.887280565326492,0.6346026201328373,2.0,0.5481214085096875,0.7317935675932065,1.0,3.4339872044851463,0.9686290884803405,2.0,False,False,True
target_0_phase_0_pair_01,unsupported_target_break,True,0,0,0,543,909,0.8492021560668945,0.017280979081988335,0.919175386428833,-0.15390245616436005,-2.7329437732696533,1.1514960562644616,13.337974356636778,6.651454115336206,2.887280565326492,0.6346026201328373,2.0,4.624972813284271,0.7862373023595635,2.0,5.37989735354046,1.0103908061245934,2.0,False,True,True
target_0_phase_0_pair_01,target_omission_break,True,0,0,0,543,909,0.8492021560668945,0.017280979081988335,-3.0441794395446777,-2.0608582496643066,1.0779948234558105,0.9669205624677488,16.99232065454362,9.852398614635604,2.281144761756176,0.6863040705277393,2.0,5.846438775057725,0.7317935675932065,1.0,5.37989735354046,1.0032622303235266,2.0,False,True,True
target_0_phase_0_pair_01,target_spike,True,0,0,0,543,909,0.8492021560668945,0.017280979081988335,3.942572593688965,-0.15390245616436005,1.0779948234558105,16.781107834070802,8.20580580171395,1.5175709075355768,5.777652323222656,0.6346026201328373,2.0,5.846438775057725,0.7317935675932065,1.0,3.4339872044851463,0.9686290884803405,2.0,True,True,True
target_0_phase_0_pair_02,coherent_control,True,0,0,0,1103,523,0.4713967442512512,0.028860805556178093,-1.6519256830215454,-1.51593816280365,-1.933898687362671,0.01849260565501254,0.07950877517716037,0.174691000089652,0.19948936041632004,0.50023627627189,0.0,1.2700345550040286,0.6602606886047856,0.0,0.6834852696482084,0.828360132439528,0.0,False,False,False
target_0_phase_0_pair_02,unsupported_target_break,True,0,0,0,1103,523,0.4713967442512512,0.028860805556178093,-1.6519256830215454,-1.51593816280365,2.573878288269043,0.01849260565501254,17.857419203775308,16.726598603464836,0.19948936041632004,0.50023627627189,0.0,4.624972813284271,0.7735475082279238,2.0,5.6131281063880705,0.9212014326866826,1.0,False,True,True
target_0_phase_0_pair_02,target_omission_break,True,0,0,0,1103,523,0.4713967442512512,0.028860805556178093,3.0041472911834717,1.4209409952163696,-1.933898687362671,2.506542175589871,24.38429808623573,11.254949295807037,5.084505142662711,0.6021534080520328,2.0,4.983606621708336,0.6602606886047856,0.0,5.6131281063880705,0.893606682912311,1.0,True,True,True
