source_id,role,regime,primary_pair_id,coordination_pair_id,raw_score_name,raw_compatibility_score,compatibility_tail,reliability_bin,outer_threshold,outer_exceedance
regime_0_source_07,normal_scheduled_transition,0,regime_0_source_07_primary,,event_pre_future_contrastive_energy,0.2029399871826172,0.12026486639314356,0,2.9220290777668563,0
regime_0_source_07,incompatible_timing_transition,0,regime_0_source_07_primary,,event_pre_future_contrastive_energy,0.4230703115463257,0.5146099234572302,0,2.9220290777668563,0
regime_0_source_07,normal_coordinated_transition,0,,regime_0_source_07_coordination,event_pre_future_contrastive_energy,0.16660428047180176,0.04046794955284654,0,2.9220290777668563,0
regime_0_source_07,unsupported_transition,0,,regime_0_source_07_coordination,event_pre_future_contrastive_energy,1.5885168313980103,5.8664680569332965,0,2.9220290777668563,1
regime_0_source_07,no_event_normal_control,0,,,event_pre_future_contrastive_energy,0.7213708162307739,3.6692434795970774,0,2.9220290777668563,1
regime_1_source_00,normal_scheduled_transition,1,regime_1_source_00_primary,,event_pre_future_contrastive_energy,0.16071701049804688,0.0254790853009849,1,2.871679624884012,0
regime_1_source_00,incompatible_timing_transition,1,regime_1_source_00_primary,,event_pre_future_contrastive_energy,0.7007052302360535,2.3608540011180215,1,2.871679624884012,0
regime_1_source_00,normal_coordinated_transition,1,,regime_1_source_00_coordination,event_pre_future_contrastive_energy,0.4395238161087036,0.5416955577018521,1,2.871679624884012,0
regime_1_source_00,unsupported_transition,1,,regime_1_source_00_coordination,event_pre_future_contrastive_energy,1.824340581893921,5.762051382780177,1,2.871679624884012,1
regime_1_source_00,no_event_normal_control,1,,,event_pre_future_contrastive_energy,0.41702914237976074,0.44884540373838955,1,2.871679624884012,0
regime_1_source_01,normal_scheduled_transition,1,regime_1_source_01_primary,,event_pre_future_contrastive_energy,0.31844615936279297,0.23262229526875347,1,2.871679624884012,0
regime_1_source_01,incompatible_timing_transition,1,regime_1_source_01_primary,,event_pre_future_contrastive_energy,0.6125760078430176,1.457986289576007,1,2.871679624884012,0
regime_1_source_01,normal_coordinated_transition,1,,regime_1_source_01_coordination,event_pre_future_contrastive_energy,0.19880282878875732,0.1272617796109272,1,2.871679624884012,0
regime_1_source_01,unsupported_transition,1,,regime_1_source_01_coordination,event_pre_future_contrastive_energy,1.5570502281188965,5.762051382780177,1,2.871679624884012,1
regime_1_source_01,no_event_normal_control,1,,,event_pre_future_contrastive_energy,0.30887138843536377,0.21297529788495698,1,2.871679624884012,0
regime_1_source_02,normal_scheduled_transition,1,regime_1_source_02_primary,,event_pre_future_contrastive_energy,0.19010967016220093,0.11660448513693918,1,2.871679624884012,0
regime_1_source_02,incompatible_timing_transition,1,regime_1_source_02_primary,,event_pre_future_contrastive_energy,0.7254014611244202,2.6265571668510272,1,2.871679624884012,0
regime_1_source_02,normal_coordinated_transition,1,,regime_1_source_02_coordination,event_pre_future_contrastive_energy,0.30722618103027344,0.21297529788495698,1,2.871679624884012,0
regime_1_source_02,unsupported_transition,1,,regime_1_source_02_coordination,event_pre_future_contrastive_energy,1.778466820716858,5.762051382780177,1,2.871679624884012,1
regime_1_source_02,no_event_normal_control,1,,,event_pre_future_contrastive_energy,0.5291905403137207,0.9022389784185046,1,2.871679624884012,0
regime_1_source_03,normal_scheduled_transition,1,regime_1_source_03_primary,,event_pre_future_contrastive_energy,0.19142258167266846,0.11660448513693918,1,2.871679624884012,0
regime_1_source_03,incompatible_timing_transition,1,regime_1_source_03_primary,,event_pre_future_contrastive_energy,0.4530237913131714,0.5802678324880917,1,2.871679624884012,0
regime_1_source_03,normal_coordinated_transition,1,,regime_1_source_03_coordination,event_pre_future_contrastive_energy,0.21956086158752441,0.1416505170630268,1,2.871679624884012,0
regime_1_source_03,unsupported_transition,1,,regime_1_source_03_coordination,event_pre_future_contrastive_energy,1.2528070211410522,5.762051382780177,1,2.871679624884012,1
regime_1_source_03,no_event_normal_control,1,,,event_pre_future_contrastive_energy,0.9181222319602966,4.663439094112067,1,2.871679624884012,1
regime_1_source_04,normal_scheduled_transition,1,regime_1_source_04_primary,,event_pre_future_contrastive_energy,0.16292285919189453,0.028710105882431367,1,2.871679624884012,0
regime_1_source_04,incompatible_timing_transition,1,regime_1_source_04_primary,,event_pre_future_contrastive_energy,0.7227447032928467,2.6265571668510272,1,2.871679624884012,0
regime_1_source_04,normal_coordinated_transition,1,,regime_1_source_04_coordination,event_pre_future_contrastive_energy,0.3977707624435425,0.3638886812624241,1,2.871679624884012,0
regime_1_source_04,unsupported_transition,1,,regime_1_source_04_coordination,event_pre_future_contrastive_energy,1.735152006149292,5.762051382780177,1,2.871679624884012,1
regime_1_source_04,no_event_normal_control,1,,,event_pre_future_contrastive_energy,0.4801543354988098,0.6806470177957138,1,2.871679624884012,0
regime_1_source_05,normal_scheduled_transition,1,regime_1_source_05_primary,,event_pre_future_contrastive_energy,0.18117594718933105,0.08872811560868431,1,2.871679624884012,0
regime_1_source_05,incompatible_timing_transition,1,regime_1_source_05_primary,,event_pre_future_contrastive_energy,0.3647451400756836,0.2982195777545668,1,2.871679624884012,0
regime_1_source_05,normal_coordinated_transition,1,,regime_1_source_05_coordination,event_pre_future_contrastive_energy,0.18377119302749634,0.09562469466774465,1,2.871679624884012,0
regime_1_source_05,unsupported_transition,1,,regime_1_source_05_coordination,event_pre_future_contrastive_energy,1.5842493772506714,5.762051382780177,1,2.871679624884012,1
regime_1_source_05,no_event_normal_control,1,,,event_pre_future_contrastive_energy,0.7514370679855347,3.122994053164918,1,2.871679624884012,1
regime_1_source_06,normal_scheduled_transition,1,regime_1_source_06_primary,,event_pre_future_contrastive_energy,0.24585145711898804,0.16362942378180204,1,2.871679624884012,0
regime_1_source_06,incompatible_timing_transition,1,regime_1_source_06_primary,,event_pre_future_contrastive_energy,0.7715775966644287,3.2771447329921766,1,2.871679624884012,1
regime_1_source_06,normal_coordinated_transition,1,,regime_1_source_06_coordination,event_pre_future_contrastive_energy,0.22390121221542358,0.15257958759521706,1,2.871679624884012,0
regime_1_source_06,unsupported_transition,1,,regime_1_source_06_coordination,event_pre_future_contrastive_energy,1.7015913724899292,5.762051382780177,1,2.871679624884012,1
regime_1_source_06,no_event_normal_control,1,,,event_pre_future_contrastive_energy,0.7630260586738586,3.19710202531864,1,2.871679624884012,1
regime_1_source_07,normal_scheduled_transition,1,regime_1_source_07_primary,,event_pre_future_contrastive_energy,0.20752781629562378,0.13443026908953973,1,2.871679624884012,0
regime_1_source_07,incompatible_timing_transition,1,regime_1_source_07_primary,,event_pre_future_contrastive_energy,0.48135244846343994,0.6868775675463499,1,2.871679624884012,0
regime_1_source_07,normal_coordinated_transition,1,,regime_1_source_07_coordination,event_pre_future_contrastive_energy,0.15323179960250854,0.006309169193264721,1,2.871679624884012,0
regime_1_source_07,unsupported_transition,1,,regime_1_source_07_coordination,event_pre_future_contrastive_energy,1.4951200485229492,5.762051382780177,1,2.871679624884012,1
regime_1_source_07,no_event_normal_control,1,,,event_pre_future_contrastive_energy,0.6029977798461914,1.3926035303131554,1,2.871679624884012,0
