archive_commit,resolved_catch_path,source_file_count,aggregate_sha256,source_file_sha256_json,current_catch_path,current_aggregate_sha256,matches_current_catch,changed_file_count,changed_files,audit_status,audit_reason
9df9db758075513118d16a680f6812e580170d76,CATCH-master/ts_benchmark/baselines/catch,11,9ae5e9948a1eaa40120634ec198b88183aa2f16a21f129cd17e1d301772c4efb,"{""CATCH.py"":""6e938febed38a821aa49fb7e46c9a6fb0ab248aa02cf71f5da0eed3075f5510a"",""__init__.py"":""bee219246dccdeefb37fc3217100c9c6f42d71d72a4ee1e7a4401690b4b84757"",""layers/RevIN.py"":""254f786f99f37d2e76aecb8329fdfc0c668f5e17a85fe4253b8a3a2340402f7e"",""layers/channel_mask.py"":""db3eaa0fa686d58ad1c4ffcc9e3015648449524ad7d897fa1ed8b6628480388f"",""layers/cross_channel_Transformer.py"":""0defcd85e0300a105ff003767ce24fc38164553c78b80a4783b51af7339b519f"",""models/CATCH_model.py"":""989e33201e822334bb05c4bc9079ac8acd8620ef67666357ca514af3a865fd4f"",""models/__init__.py"":""b563008435c9a3af02df64d72629663061c0d39ffa1c2f201a4b872d74d97081"",""utils/__init__.py"":""e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"",""utils/ch_discover_loss.py"":""370c3a481a7c3c66f687044bd25f4d72b4afb89034ce6f8bd1b9a7a6e3ed3d51"",""utils/fre_rec_loss.py"":""bd8c4e4481e8bc55c828cbc2629c8945038aea95c669b8ed7589f82fea590f61"",""utils/tools.py"":""7a9243f756129cf3e1e6f5f1d9416e9be50b39ec6f55a66c4c13047e2ed7e91c""}",/media/h3c/users/wangyueyang1/cxy/CATCH-master/ts_benchmark/baselines/catch,9ae5e9948a1eaa40120634ec198b88183aa2f16a21f129cd17e1d301772c4efb,True,0,,ok,
a3ba73c56101778ac3df060814ae29d811fb31fb,CATCH-master/ts_benchmark/baselines/catch,11,9ae5e9948a1eaa40120634ec198b88183aa2f16a21f129cd17e1d301772c4efb,"{""CATCH.py"":""6e938febed38a821aa49fb7e46c9a6fb0ab248aa02cf71f5da0eed3075f5510a"",""__init__.py"":""bee219246dccdeefb37fc3217100c9c6f42d71d72a4ee1e7a4401690b4b84757"",""layers/RevIN.py"":""254f786f99f37d2e76aecb8329fdfc0c668f5e17a85fe4253b8a3a2340402f7e"",""layers/channel_mask.py"":""db3eaa0fa686d58ad1c4ffcc9e3015648449524ad7d897fa1ed8b6628480388f"",""layers/cross_channel_Transformer.py"":""0defcd85e0300a105ff003767ce24fc38164553c78b80a4783b51af7339b519f"",""models/CATCH_model.py"":""989e33201e822334bb05c4bc9079ac8acd8620ef67666357ca514af3a865fd4f"",""models/__init__.py"":""b563008435c9a3af02df64d72629663061c0d39ffa1c2f201a4b872d74d97081"",""utils/__init__.py"":""e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"",""utils/ch_discover_loss.py"":""370c3a481a7c3c66f687044bd25f4d72b4afb89034ce6f8bd1b9a7a6e3ed3d51"",""utils/fre_rec_loss.py"":""bd8c4e4481e8bc55c828cbc2629c8945038aea95c669b8ed7589f82fea590f61"",""utils/tools.py"":""7a9243f756129cf3e1e6f5f1d9416e9be50b39ec6f55a66c4c13047e2ed7e91c""}",/media/h3c/users/wangyueyang1/cxy/CATCH-master/ts_benchmark/baselines/catch,9ae5e9948a1eaa40120634ec198b88183aa2f16a21f129cd17e1d301772c4efb,True,0,,ok,
aedcc2512baa7e518829ec5d1a90c3e9837202c1,,0,,{},/media/h3c/users/wangyueyang1/cxy/CATCH-master/ts_benchmark/baselines/catch,9ae5e9948a1eaa40120634ec198b88183aa2f16a21f129cd17e1d301772c4efb,False,0,,failed,historical_catch_path_not_found
ed5bb2da92251e078f5fdd1b64be5b7a88f31709,CATCH-master/ts_benchmark/baselines/catch,11,9ae5e9948a1eaa40120634ec198b88183aa2f16a21f129cd17e1d301772c4efb,"{""CATCH.py"":""6e938febed38a821aa49fb7e46c9a6fb0ab248aa02cf71f5da0eed3075f5510a"",""__init__.py"":""bee219246dccdeefb37fc3217100c9c6f42d71d72a4ee1e7a4401690b4b84757"",""layers/RevIN.py"":""254f786f99f37d2e76aecb8329fdfc0c668f5e17a85fe4253b8a3a2340402f7e"",""layers/channel_mask.py"":""db3eaa0fa686d58ad1c4ffcc9e3015648449524ad7d897fa1ed8b6628480388f"",""layers/cross_channel_Transformer.py"":""0defcd85e0300a105ff003767ce24fc38164553c78b80a4783b51af7339b519f"",""models/CATCH_model.py"":""989e33201e822334bb05c4bc9079ac8acd8620ef67666357ca514af3a865fd4f"",""models/__init__.py"":""b563008435c9a3af02df64d72629663061c0d39ffa1c2f201a4b872d74d97081"",""utils/__init__.py"":""e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"",""utils/ch_discover_loss.py"":""370c3a481a7c3c66f687044bd25f4d72b4afb89034ce6f8bd1b9a7a6e3ed3d51"",""utils/fre_rec_loss.py"":""bd8c4e4481e8bc55c828cbc2629c8945038aea95c669b8ed7589f82fea590f61"",""utils/tools.py"":""7a9243f756129cf3e1e6f5f1d9416e9be50b39ec6f55a66c4c13047e2ed7e91c""}",/media/h3c/users/wangyueyang1/cxy/CATCH-master/ts_benchmark/baselines/catch,9ae5e9948a1eaa40120634ec198b88183aa2f16a21f129cd17e1d301772c4efb,True,0,,ok,
